CustomerID,Churn_Probability,Risk_Category,MonthlyCharges,Contract,Tenure
2004-OCQXK,0.98,High Risk,81.95,Month-to-month,1
3811-VBYBZ,0.98,High Risk,99.8,Month-to-month,7
5552-ZNFSJ,0.98,High Risk,45.3,Month-to-month,1
7234-FECYN,0.98,High Risk,101.35,Month-to-month,8
6086-ESGRL,0.98,High Risk,80.15,Month-to-month,1
1963-SVUCV,0.98,High Risk,45.3,Month-to-month,1
0295-PPHDO,0.98,High Risk,95.45,Month-to-month,1
6416-TVAIH,0.98,High Risk,68.5,Month-to-month,1
0107-YHINA,0.98,High Risk,99.75,Month-to-month,1
2202-CUYXZ,0.98,High Risk,84.85,Month-to-month,1
7568-PODML,0.98,High Risk,45.3,Month-to-month,1
3006-XIMLN,0.98,High Risk,94.2,Month-to-month,2
3387-VATUS,0.98,High Risk,94.85,Month-to-month,5
4550-EVXNY,0.98,High Risk,69.65,Month-to-month,1
1761-AEZZR,0.98,High Risk,79.55,Month-to-month,1
5539-TMZLF,0.98,High Risk,69.75,Month-to-month,1
6861-XWTWQ,0.98,High Risk,99.25,Month-to-month,7
3585-ISXZP,0.98,High Risk,95.65,Month-to-month,8
8580-AECUZ,0.98,High Risk,79.1,Month-to-month,1
4415-IJZTP,0.98,High Risk,74.5,Month-to-month,1
0697-ZMSWS,0.97,High Risk,85.65,Month-to-month,4
4750-ZRXIU,0.97,High Risk,84.6,Month-to-month,4
8603-IJWDN,0.97,High Risk,86.6,Month-to-month,1
3871-IKPYH,0.97,High Risk,69.1,Month-to-month,1
3874-EQOEP,0.97,High Risk,95.0,Month-to-month,7
5299-SJCZT,0.97,High Risk,101.55,Month-to-month,3
2012-NWRPA,0.97,High Risk,99.55,Month-to-month,11
0564-JJHGS,0.97,High Risk,95.5,Month-to-month,9
7825-GKXMW,0.97,High Risk,45.8,Month-to-month,1
2868-MZAGQ,0.97,High Risk,79.25,Month-to-month,1
5275-SQEIZ,0.97,High Risk,80.85,Month-to-month,1
2608-BHKFN,0.97,High Risk,70.05,Month-to-month,4
4274-OWWYO,0.97,High Risk,74.35,Month-to-month,1
2082-CEFLT,0.97,High Risk,45.6,Month-to-month,1
5229-PRWKT,0.97,High Risk,86.55,Month-to-month,8
3902-FOIGH,0.97,High Risk,101.35,Month-to-month,12
5597-GLBUC,0.97,High Risk,85.45,Month-to-month,1
9451-LPGOO,0.97,High Risk,86.8,Month-to-month,7
9885-CSMWE,0.97,High Risk,78.45,Month-to-month,1
8098-LLAZX,0.97,High Risk,95.45,Month-to-month,4
9850-OWRHQ,0.97,High Risk,74.1,Month-to-month,3
8992-JQYUN,0.97,High Risk,50.35,Month-to-month,1
7024-OHCCK,0.97,High Risk,93.85,Month-to-month,2
2968-SSGAA,0.97,High Risk,100.6,Month-to-month,10
8945-GRKHX,0.97,High Risk,78.65,Month-to-month,1
7274-RTAPZ,0.97,High Risk,90.55,Month-to-month,1
3376-BMGFE,0.97,High Risk,70.9,Month-to-month,4
2856-HYAPG,0.97,High Risk,68.65,Month-to-month,1
6521-YYTYI,0.97,High Risk,93.3,Month-to-month,1
6166-ILMNY,0.97,High Risk,69.75,Month-to-month,2
8779-QRDMV,0.97,High Risk,39.65,Month-to-month,1
0655-RBDUG,0.97,High Risk,98.05,Month-to-month,7
2656-TABEH,0.97,High Risk,100.2,Month-to-month,4
2982-IHMFT,0.97,High Risk,74.45,Month-to-month,1
2645-QTLMB,0.96,High Risk,94.25,Month-to-month,7
2024-BASKD,0.96,High Risk,74.6,Month-to-month,1
4614-NUVZD,0.96,High Risk,81.1,Month-to-month,1
1571-SAVHK,0.96,High Risk,99.95,Month-to-month,12
0195-IESCP,0.96,High Risk,85.25,Month-to-month,10
4952-YSOGZ,0.96,High Risk,85.95,Month-to-month,4
9223-UCPVT,0.96,High Risk,94.4,Month-to-month,1
7943-RQCHR,0.96,High Risk,94.75,Month-to-month,9
9300-RENDD,0.96,High Risk,79.95,Month-to-month,1
2867-UIMSS,0.96,High Risk,80.5,Month-to-month,1
0746-JTRFU,0.96,High Risk,25.05,Month-to-month,2
6128-CZOMY,0.96,High Risk,45.65,Month-to-month,1
3776-EKTKM,0.96,High Risk,36.45,Month-to-month,1
2446-BEGGB,0.96,High Risk,98.25,Month-to-month,6
8348-HFYIV,0.96,High Risk,49.25,Month-to-month,2
4626-GYCZP,0.96,High Risk,93.85,Month-to-month,7
6567-HOOPW,0.96,High Risk,79.2,Month-to-month,1
9681-OXGVC,0.96,High Risk,100.5,Month-to-month,5
9057-SIHCH,0.96,High Risk,96.6,Month-to-month,3
5299-RULOA,0.96,High Risk,100.25,Month-to-month,10
8058-JMEQO,0.96,High Risk,84.45,Month-to-month,9
6108-OQZDQ,0.96,High Risk,97.95,Month-to-month,4
3621-CEOVK,0.96,High Risk,100.2,Month-to-month,14
8931-GJJIQ,0.96,High Risk,83.3,Month-to-month,9
5698-BQJOH,0.96,High Risk,94.4,Month-to-month,9
3707-GNWHM,0.96,High Risk,74.25,Month-to-month,1
0219-YTZUE,0.96,High Risk,84.8,Month-to-month,4
7779-LGOVN,0.96,High Risk,86.65,Month-to-month,10
1678-FYZOW,0.96,High Risk,79.4,Month-to-month,3
5570-PTWEH,0.96,High Risk,75.15,Month-to-month,3
6543-XRMYR,0.96,High Risk,99.7,Month-to-month,30
5797-APWZC,0.96,High Risk,90.6,Month-to-month,1
7294-TMAOP,0.96,High Risk,90.55,Month-to-month,1
1569-TTNYJ,0.96,High Risk,78.75,Month-to-month,5
5054-IEXZT,0.96,High Risk,75.35,Month-to-month,1
4910-GMJOT,0.96,High Risk,94.6,Month-to-month,1
6688-UZPWD,0.96,High Risk,102.0,Month-to-month,11
8183-ONMXC,0.96,High Risk,80.75,Month-to-month,2
8149-RSOUN,0.96,High Risk,93.85,Month-to-month,1
3389-YGYAI,0.96,High Risk,105.5,Month-to-month,8
4510-HIMLV,0.9599,High Risk,69.8,Month-to-month,1
8937-RDTHP,0.95,High Risk,84.6,Month-to-month,1
9172-ANCRX,0.95,High Risk,98.7,Month-to-month,10
2485-ITVKB,0.95,High Risk,35.1,Month-to-month,2
7903-CMPEY,0.95,High Risk,80.3,Month-to-month,1
0897-FEGMU,0.95,High Risk,99.5,Month-to-month,11
6358-LYNGM,0.95,High Risk,74.9,Month-to-month,1
7526-BEZQB,0.95,High Risk,96.05,Month-to-month,12
2619-WFQWU,0.95,High Risk,70.15,Month-to-month,1
5380-AFSSK,0.95,High Risk,93.9,Month-to-month,5
5378-IKEEG,0.95,High Risk,35.75,Month-to-month,1
4143-OOBWZ,0.95,High Risk,81.3,Month-to-month,5
0887-HJGAR,0.95,High Risk,45.7,Month-to-month,1
3422-LYEPQ,0.95,High Risk,71.0,Month-to-month,1
3178-FESZO,0.95,High Risk,100.25,Month-to-month,1
9117-SHLZX,0.95,High Risk,45.7,Month-to-month,1
3722-WPXTK,0.95,High Risk,88.35,Month-to-month,1
9985-MWVIX,0.95,High Risk,70.15,Month-to-month,1
6372-RFVNS,0.95,High Risk,78.8,Month-to-month,1
5196-SGOAK,0.95,High Risk,75.7,Month-to-month,1
5167-ZFFMM,0.95,High Risk,90.85,Month-to-month,1
9305-CDSKC,0.95,High Risk,99.65,Month-to-month,8
3186-BAXNB,0.95,High Risk,91.7,Month-to-month,1
0023-HGHWL,0.95,High Risk,25.1,Month-to-month,1
9965-YOKZB,0.95,High Risk,83.85,Month-to-month,9
8245-UMPYT,0.95,High Risk,96.4,Month-to-month,16
9025-AOMKI,0.95,High Risk,93.55,Month-to-month,6
2865-TCHJW,0.95,High Risk,89.2,Month-to-month,4
1157-BQCUW,0.95,High Risk,74.95,Month-to-month,1
3519-ZKXGG,0.95,High Risk,75.85,Month-to-month,3
6608-QQLVK,0.95,High Risk,50.5,Month-to-month,1
8258-GSTJK,0.95,High Risk,77.0,Month-to-month,3
3296-SILRA,0.95,High Risk,76.4,Month-to-month,1
7330-WZLNC,0.95,High Risk,90.8,Month-to-month,5
4988-IQIGL,0.95,High Risk,75.35,Month-to-month,1
7450-NWRTR,0.95,High Risk,99.45,Month-to-month,12
5077-DXTCG,0.95,High Risk,45.3,Month-to-month,1
7216-EWTRS,0.95,High Risk,100.8,Month-to-month,1
1062-LHZOD,0.9447,High Risk,69.9,Month-to-month,1
3066-RRJIO,0.9417,High Risk,69.95,Month-to-month,1
1723-HKXJQ,0.94,High Risk,101.75,Month-to-month,42
2272-QAGFO,0.94,High Risk,74.3,Month-to-month,14
0375-HVGXO,0.94,High Risk,34.7,Month-to-month,1
9851-QXEEQ,0.94,High Risk,104.7,Month-to-month,41
8821-XNHVZ,0.94,High Risk,80.05,Month-to-month,1
3765-JXVKY,0.94,High Risk,74.7,Month-to-month,1
8397-MVTAZ,0.94,High Risk,100.05,Month-to-month,34
1031-IIDEO,0.94,High Risk,70.85,Month-to-month,1
4695-WJZUE,0.94,High Risk,88.55,Month-to-month,2
0880-TKATG,0.94,High Risk,101.15,Month-to-month,4
9399-APLBT,0.94,High Risk,74.7,Month-to-month,1
2737-YNGYW,0.94,High Risk,80.55,Month-to-month,2
1965-AKTSX,0.94,High Risk,78.95,Month-to-month,14
7295-JOMMD,0.94,High Risk,98.1,Month-to-month,4
8510-AWCXC,0.94,High Risk,100.8,Month-to-month,13
3793-MMFUH,0.94,High Risk,95.05,Month-to-month,13
9231-ZJYAM,0.94,High Risk,78.85,Month-to-month,4
0781-LKXBR,0.94,High Risk,100.5,Month-to-month,9
2656-FMOKZ,0.94,High Risk,74.45,Month-to-month,15
5419-CONWX,0.94,High Risk,99.8,Month-to-month,4
2013-SGDXK,0.94,High Risk,84.3,Month-to-month,1
6338-AVWCY,0.94,High Risk,40.15,Month-to-month,3
5919-TMRGD,0.94,High Risk,79.35,Month-to-month,1
8010-EZLOU,0.94,High Risk,80.2,Month-to-month,15
1069-XAIEM,0.94,High Risk,85.05,Month-to-month,1
1740-CSDJP,0.94,High Risk,35.25,Month-to-month,1
1980-KXVPM,0.94,High Risk,75.05,Month-to-month,3
6653-CBBOM,0.94,High Risk,70.3,Month-to-month,1
4581-SSPWD,0.94,High Risk,75.8,Month-to-month,3
7548-SEPYI,0.94,High Risk,96.25,Month-to-month,5
8999-BOHSE,0.94,High Risk,89.7,Month-to-month,11
9828-AOQLM,0.94,High Risk,45.7,Month-to-month,1
4603-JANFB,0.9365,High Risk,69.85,Month-to-month,1
5134-IKDAY,0.935,High Risk,69.8,Month-to-month,1
5583-SXDAG,0.935,High Risk,70.0,Month-to-month,1
7198-GLXTC,0.93,High Risk,79.0,Month-to-month,2
1768-ZAIFU,0.93,High Risk,25.2,Month-to-month,1
2207-NHRJK,0.93,High Risk,50.8,Month-to-month,1
7359-PTSXY,0.93,High Risk,45.75,Month-to-month,1
4228-ZGYUW,0.93,High Risk,90.05,Month-to-month,4
5383-MMTWC,0.93,High Risk,84.0,Month-to-month,8
0011-IGKFF,0.93,High Risk,98.0,Month-to-month,13
4951-UKAAQ,0.93,High Risk,88.95,Month-to-month,4
6023-YEBUP,0.93,High Risk,100.95,Month-to-month,3
5519-NPHVG,0.93,High Risk,94.2,Month-to-month,12
3672-YITQD,0.93,High Risk,84.1,Month-to-month,36
7576-OYWBN,0.93,High Risk,76.05,Month-to-month,3
4844-JJWUY,0.93,High Risk,86.0,Month-to-month,1
4795-KTRTH,0.93,High Risk,81.0,Month-to-month,5
4816-JBHOV,0.93,High Risk,44.7,Month-to-month,2
4706-AXVKM,0.93,High Risk,84.8,Month-to-month,11
5835-BEQEU,0.93,High Risk,76.95,Month-to-month,3
8280-MQRQN,0.93,High Risk,50.45,Month-to-month,1
1374-DMZUI,0.93,High Risk,94.3,Month-to-month,4
4529-CKBCL,0.93,High Risk,80.2,Month-to-month,2
3148-BLQJT,0.93,High Risk,20.1,Month-to-month,1
4501-EQDRN,0.93,High Risk,69.7,Month-to-month,1
8972-HJWNV,0.93,High Risk,84.55,Month-to-month,7
2545-EBUPK,0.93,High Risk,84.05,Month-to-month,2
7854-FOKSF,0.93,High Risk,35.9,Month-to-month,1
9250-WYPLL,0.93,High Risk,75.55,Month-to-month,5
0754-UKWQP,0.93,High Risk,95.85,Month-to-month,2
0196-VULGZ,0.93,High Risk,84.35,Month-to-month,6
8752-STIVR,0.93,High Risk,79.0,Month-to-month,4
0822-GAVAP,0.93,High Risk,34.7,Month-to-month,2
9878-TNQGW,0.92,High Risk,80.95,Month-to-month,2
3727-RJMEO,0.92,High Risk,82.85,Month-to-month,6
5349-IECLD,0.92,High Risk,94.95,Month-to-month,2
1981-INRFU,0.92,High Risk,79.75,Month-to-month,2
6960-HVYXR,0.92,High Risk,76.0,Month-to-month,1
1624-NALOJ,0.92,High Risk,89.8,Month-to-month,5
0235-KGSLC,0.92,High Risk,85.55,Month-to-month,1
7594-RQHXR,0.92,High Risk,79.6,Month-to-month,1
7409-KIUTL,0.92,High Risk,71.0,Month-to-month,1
3834-XUIFC,0.92,High Risk,85.2,Month-to-month,7
5565-FILXA,0.92,High Risk,96.15,Month-to-month,16
1084-UQCHV,0.92,High Risk,69.75,Month-to-month,1
2205-YMZZJ,0.92,High Risk,84.8,Month-to-month,7
1833-VGRUM,0.92,High Risk,74.2,Month-to-month,1
4110-PFEUZ,0.92,High Risk,69.55,Month-to-month,1
8357-EQXFO,0.92,High Risk,95.35,Month-to-month,7
1010-DIAUQ,0.92,High Risk,96.5,Month-to-month,5
5564-NEMQO,0.92,High Risk,75.3,Month-to-month,1
9600-NAXZN,0.92,High Risk,101.4,Month-to-month,43
8161-QYMTT,0.92,High Risk,94.1,Month-to-month,7
6496-SLWHQ,0.92,High Risk,105.0,Month-to-month,3
2737-WFVYW,0.92,High Risk,45.25,Month-to-month,2
0684-AOSIH,0.92,High Risk,95.0,Month-to-month,1
1389-CXMLU,0.92,High Risk,91.05,Month-to-month,3
9221-OTIVJ,0.92,High Risk,104.85,Month-to-month,14
2276-YDAVZ,0.92,High Risk,75.1,Month-to-month,3
6015-VVHHE,0.92,High Risk,83.15,Month-to-month,5
2260-USTRB,0.92,High Risk,70.2,Month-to-month,2
4432-ADRLB,0.92,High Risk,44.65,Month-to-month,2
2660-EMUBI,0.92,High Risk,95.35,Month-to-month,10
1273-MTETI,0.92,High Risk,88.85,Month-to-month,4
4678-DVQEO,0.92,High Risk,52.2,Month-to-month,1
8634-MPHTR,0.92,High Risk,100.05,Month-to-month,47
2027-FECZV,0.92,High Risk,106.7,Month-to-month,12
2265-CYWIV,0.92,High Risk,99.6,Month-to-month,4
8000-REIQB,0.918,High Risk,69.95,Month-to-month,1
4587-VVTOX,0.91,High Risk,105.3,Month-to-month,6
8086-OVPWV,0.91,High Risk,80.2,Month-to-month,2
4229-CZMLL,0.91,High Risk,74.9,Month-to-month,6
7089-IVVAZ,0.91,High Risk,103.35,Month-to-month,8
4060-LDNLU,0.91,High Risk,96.2,Month-to-month,7
0376-YMCJC,0.91,High Risk,90.6,Month-to-month,23
2642-DTVCO,0.91,High Risk,85.05,Month-to-month,9
3318-OSATS,0.91,High Risk,95.45,Month-to-month,35
3643-AHCFP,0.91,High Risk,95.6,Month-to-month,7
2362-IBOOY,0.91,High Risk,84.75,Month-to-month,36
8625-AZYZY,0.91,High Risk,104.65,Month-to-month,24
5519-YLDGW,0.91,High Risk,103.9,Month-to-month,21
2386-LAHRK,0.91,High Risk,53.5,Month-to-month,1
9837-BMCLM,0.91,High Risk,78.5,Month-to-month,3
1195-OIYEJ,0.91,High Risk,91.1,Month-to-month,13
9576-ANLXO,0.91,High Risk,69.55,Month-to-month,3
7615-ESMYF,0.91,High Risk,44.6,Month-to-month,2
4512-ZUIYL,0.91,High Risk,70.0,Month-to-month,2
8168-UQWWF,0.91,High Risk,97.85,Month-to-month,11
4713-LZDRV,0.91,High Risk,79.6,Month-to-month,2
7250-EQKIY,0.91,High Risk,50.45,Month-to-month,1
5095-AESKG,0.91,High Risk,91.5,Month-to-month,3
5445-UTODQ,0.91,High Risk,81.1,Month-to-month,7
0337-CNPZE,0.91,High Risk,106.3,Month-to-month,41
1875-QIVME,0.91,High Risk,104.4,Month-to-month,2
0220-EBGCE,0.91,High Risk,85.85,Month-to-month,2
1448-PWKYE,0.91,High Risk,80.0,Month-to-month,1
1450-GALXR,0.91,High Risk,98.5,Month-to-month,10
6772-KSATR,0.91,High Risk,81.7,Month-to-month,1
1564-NTYXF,0.91,High Risk,82.0,Month-to-month,13
5889-LFOLL,0.91,High Risk,84.6,Month-to-month,13
2612-RRIDN,0.91,High Risk,81.0,Month-to-month,4
9894-EZEWG,0.91,High Risk,74.3,Month-to-month,1
0612-RTZZA,0.91,High Risk,25.25,Month-to-month,1
2956-GGUCQ,0.91,High Risk,78.85,Month-to-month,24
5482-PLVPE,0.91,High Risk,24.35,Month-to-month,2
2446-PLQVO,0.91,High Risk,70.3,Month-to-month,1
4423-YLHDV,0.91,High Risk,104.4,Month-to-month,21
8111-RKSPX,0.9,High Risk,72.2,Month-to-month,4
8443-ZRDBZ,0.9,High Risk,76.05,Month-to-month,4
1496-GGSUK,0.9,High Risk,25.7,Month-to-month,1
0325-XBFAC,0.9,High Risk,94.7,Month-to-month,8
6877-TJMBR,0.9,High Risk,84.8,Month-to-month,1
3703-VAVCL,0.9,High Risk,90.0,Month-to-month,2
2074-GKOWZ,0.9,High Risk,89.55,Month-to-month,2
8593-WHYHV,0.9,High Risk,85.3,Month-to-month,3
8878-HMWBV,0.9,High Risk,49.15,Month-to-month,3
6993-OHLXR,0.9,High Risk,68.95,Month-to-month,2
6457-USBER,0.9,High Risk,80.8,Month-to-month,1
9317-WZPGV,0.9,High Risk,79.75,Month-to-month,2
4547-KQRTM,0.9,High Risk,80.05,Month-to-month,10
4315-MURBD,0.9,High Risk,98.9,Month-to-month,12
7932-WPTDS,0.9,High Risk,24.8,Month-to-month,1
0722-TROQR,0.9,High Risk,74.9,Month-to-month,4
6005-OBZPH,0.9,High Risk,89.15,Month-to-month,26
0812-WUPTB,0.9,High Risk,70.85,Month-to-month,1
5712-PTIWW,0.9,High Risk,79.85,Month-to-month,2
4140-MUHUG,0.9,High Risk,86.85,Month-to-month,3
0661-XEYAN,0.9,High Risk,25.8,Month-to-month,1
0495-ZBNGW,0.9,High Risk,79.9,Month-to-month,5
5649-ANRML,0.9,High Risk,95.1,Month-to-month,2
0727-IWKVK,0.9,High Risk,79.9,Month-to-month,9
7938-OUHIO,0.9,High Risk,98.7,Month-to-month,3
2919-HBCJO,0.9,High Risk,76.65,Month-to-month,4
2454-RPBRZ,0.9,High Risk,98.1,Month-to-month,12
9944-HKVVB,0.9,High Risk,95.1,Month-to-month,3
4826-XTSOH,0.9,High Risk,86.05,Month-to-month,1
5685-IIXLY,0.9,High Risk,83.6,Month-to-month,5
0362-ZBZWJ,0.9,High Risk,84.9,Month-to-month,36
0616-ATFGB,0.9,High Risk,25.05,Month-to-month,1
5494-HECPR,0.9,High Risk,80.25,Month-to-month,1
1363-TXLSL,0.9,High Risk,70.3,Month-to-month,1
3244-DCJWY,0.9,High Risk,70.25,Month-to-month,1
4847-QNOKA,0.9,High Risk,44.9,Month-to-month,1
4285-GYRQC,0.9,High Risk,86.25,Month-to-month,7
6101-IMRMM,0.9,High Risk,94.5,Month-to-month,6
6390-DSAZX,0.9,High Risk,73.6,Month-to-month,1
3988-RQIXO,0.9,High Risk,91.3,Month-to-month,1
7760-OYPDY,0.9,High Risk,80.65,Month-to-month,2
2055-PDADH,0.9,High Risk,70.4,Month-to-month,3
7054-LGEQW,0.9,High Risk,45.95,Month-to-month,1
2612-RANWT,0.9,High Risk,100.15,Month-to-month,12
0302-JOIVN,0.9,High Risk,101.15,Month-to-month,8
8276-MQBYC,0.9,High Risk,97.8,Month-to-month,51
9408-SSNVZ,0.9,High Risk,70.15,Month-to-month,4
7693-LCKZL,0.9,High Risk,80.15,Month-to-month,5
1640-PLFMP,0.9,High Risk,70.25,Month-to-month,1
1268-ASBGA,0.9,High Risk,85.35,Month-to-month,16
3074-GQWYX,0.9,High Risk,75.9,Month-to-month,5
7273-TEFQD,0.9,High Risk,41.15,Month-to-month,3
3606-TWKGI,0.9,High Risk,106.9,Month-to-month,13
1501-SGHBW,0.9,High Risk,45.85,Month-to-month,2
4021-RQSNY,0.89,High Risk,98.5,Month-to-month,29
7314-OXENN,0.89,High Risk,82.0,Month-to-month,2
3045-XETSH,0.89,High Risk,94.85,Month-to-month,10
0231-LXVAP,0.89,High Risk,75.9,Month-to-month,1
0685-MLYYM,0.89,High Risk,70.75,Month-to-month,2
1309-BXVOQ,0.89,High Risk,106.1,Month-to-month,21
5052-PNLOS,0.89,High Risk,105.35,Month-to-month,3
8696-JKZNU,0.89,High Risk,76.25,Month-to-month,37
4289-DTDKW,0.89,High Risk,101.3,Month-to-month,40
0151-ONTOV,0.89,High Risk,70.9,Month-to-month,1
5940-AHUHD,0.89,High Risk,70.6,Month-to-month,1
1400-MMYXY,0.89,High Risk,105.9,Month-to-month,3
0390-DCFDQ,0.89,High Risk,70.45,Month-to-month,1
1184-PJVDB,0.89,High Risk,79.95,Month-to-month,10
6168-WFVVF,0.89,High Risk,70.3,Month-to-month,3
7480-QNVZJ,0.89,High Risk,95.7,Month-to-month,50
4112-LUEIZ,0.89,High Risk,89.5,Month-to-month,10
3750-CKVKH,0.89,High Risk,67.75,Month-to-month,2
9094-AZPHK,0.89,High Risk,100.15,Month-to-month,15
8263-JQAIK,0.89,High Risk,24.45,Month-to-month,2
0702-PGIBZ,0.89,High Risk,101.7,Month-to-month,4
6376-GAHQE,0.89,High Risk,77.85,Month-to-month,4
6432-TWQLB,0.89,High Risk,85.4,Month-to-month,5
9282-IZGQK,0.89,High Risk,85.0,Month-to-month,1
9514-JDSKI,0.89,High Risk,40.2,Month-to-month,1
7005-CCBKV,0.89,High Risk,84.4,Month-to-month,6
3627-FHKBK,0.89,High Risk,75.3,Month-to-month,1
2275-RBYQS,0.89,High Risk,45.4,Month-to-month,1
5692-FPTAH,0.89,High Risk,45.4,Month-to-month,1
5103-MHMHY,0.89,High Risk,45.95,Month-to-month,1
2754-VDLTR,0.89,High Risk,95.2,Month-to-month,10
2516-VQRRV,0.89,High Risk,75.45,Month-to-month,2
4636-QRJKY,0.89,High Risk,80.5,Month-to-month,6
7218-HKQFK,0.89,High Risk,94.2,Month-to-month,2
7079-QRCBC,0.89,High Risk,98.75,Month-to-month,24
7538-GWHML,0.89,High Risk,69.65,Month-to-month,2
7817-BOQPW,0.89,High Risk,75.55,Month-to-month,2
5159-YFPKQ,0.89,High Risk,75.8,Month-to-month,2
3473-XIIIT,0.89,High Risk,100.0,Month-to-month,16
5896-NPFWW,0.89,High Risk,50.15,Month-to-month,3
7890-VYYWG,0.89,High Risk,36.45,Month-to-month,3
3372-KWFBM,0.89,High Risk,86.6,Month-to-month,16
1628-BIZYP,0.89,High Risk,85.0,Month-to-month,1
2408-WITXK,0.89,High Risk,34.7,Month-to-month,10
9601-BRXPO,0.89,High Risk,104.95,Month-to-month,25
4929-XIHVW,0.89,High Risk,95.5,Month-to-month,2
6502-HCJTI,0.89,High Risk,94.7,Month-to-month,7
7270-BDIOA,0.89,High Risk,90.0,Month-to-month,22
6680-WKXRZ,0.89,High Risk,74.4,Month-to-month,3
4514-GFCFI,0.89,High Risk,84.75,Month-to-month,16
3049-SOLAY,0.89,High Risk,95.2,Month-to-month,3
9692-TUSXH,0.89,High Risk,96.05,Month-to-month,18
1213-NGCUN,0.89,High Risk,49.65,Month-to-month,6
5186-SAMNZ,0.89,High Risk,69.5,Month-to-month,1
1122-JWTJW,0.89,High Risk,70.65,Month-to-month,1
0515-YPMCW,0.89,High Risk,70.45,Month-to-month,1
2034-GDRCN,0.89,High Risk,90.4,Month-to-month,2
9763-PDTKK,0.89,High Risk,94.4,Month-to-month,4
9846-GKXAS,0.89,High Risk,90.8,Month-to-month,9
4192-GORJT,0.89,High Risk,94.45,Month-to-month,5
7341-LXCAF,0.89,High Risk,74.65,Month-to-month,4
1066-JKSGK,0.887,High Risk,20.15,Month-to-month,1
1934-SJVJK,0.887,High Risk,20.15,Month-to-month,1
8305-VHZBZ,0.883,High Risk,20.2,Month-to-month,1
